Price,Close,High,Low,Open,Volume
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
Date,,,,,
2017-06-23,276.6905212402344,284.9652581325221,275.6642870802406,284.5625661791394,227583
2017-06-27,272.3517761230469,276.69050213921446,271.49444429990905,275.3914936258135,156330
2017-06-28,279.041748046875,280.7174746759435,270.19544039044354,272.27388277311036,221547
2017-06-29,285.44580078125,286.8877134083576,280.7173710806411,281.6396851966855,308382
2017-06-30,278.9117736816406,288.3815970436368,278.2492706610226,286.82277760015774,849042
2017-07-03,278.75592041015625,280.53556650907177,276.44366490938404,279.2625320415489,172182
2017-07-04,277.08013916015625,280.15881688732514,276.2097967716429,279.2884744988118,101838
2017-07-05,276.32672119140625,277.9764733598972,273.9625180376795,277.4698617963411,171312
2017-07-06,275.53436279296875,279.2885312529977,274.79393772348243,276.32675961795087,160602
2017-07-07,277.18408203125,293.05806197388176,273.3259943074744,275.1316379701603,1990083
2017-07-10,281.9125671386719,287.34243860408066,280.58756080945744,282.4061918173454,290181
2017-07-11,285.0171813964844,292.20074853650095,282.6919626207185,285.00419440372104,1155336
2017-07-12,286.0304260253906,290.2002734518674,282.3152422702434,288.6544407550479,697272
2017-07-13,288.875244140625,294.110286189374,284.51054460139824,287.10858513834967,2095554
2017-07-14,291.1615295410156,306.1391702922669,287.88799889498176,290.96667709269695,3839385
2017-07-17,286.31622314453125,293.3049380528955,285.78361370940735,291.75910529169954,463710
2017-07-18,282.04248046875,286.5370746487198,281.1071790200737,286.5370746487198,309123
2017-07-19,285.4068908691406,290.97969042406646,281.88655948894785,283.78313617663486,593646
2017-07-20,282.9776916503906,287.35535391356774,282.0164165196948,283.4972901862953,174504
2017-07-21,281.6397399902344,285.49780428365136,279.28852356490853,284.6144747501428,271416
2017-07-24,282.0684509277344,285.14712968754014,281.1851212531287,282.5880734085873,147561
2017-07-25,281.7306823730469,283.95200516786514,280.58754160144673,282.75689264041927,139062
2017-07-26,284.861328125,286.56302862010426,280.6005477119754,281.886569274795,200724
2017-07-27,282.0943603515625,285.7575957246251,281.1071111638842,285.7575957246251,201255
2017-07-28,281.61376953125,287.6022238880032,279.57431224768584,281.17209286611694,279711
2017-07-31,281.548828125,284.2247909080195,280.83437700713154,281.8865613015028,130875
2017-08-01,281.496826171875,284.7443828008171,280.6005096759954,281.58775889919895,110643
2017-08-02,277.2620849609375,282.89981974296455,274.10546059418,281.62678515854253,258096
2017-08-03,277.8856201171875,285.7836393283936,275.91112126081197,277.98953985774915,907485
2017-08-04,278.3532409667969,282.9257804178493,276.95031272693933,280.32773961124866,248760
2017-08-07,281.97747802734375,284.4845859726041,277.21008634793424,279.67823331624555,393819
2017-08-08,277.06719970703125,282.66594906026353,276.69048179513237,279.54830982876905,141855
2017-08-09,272.5855712890625,276.9502706176625,271.49440240333695,276.9502706176625,156759
2017-08-10,263.1027526855469,272.5855630327517,261.102256634228,272.5855630327517,313254
2017-08-11,259.0498352050781,263.70031995710445,257.4650416431292,258.50423883832565,485646
2017-08-14,259.166748046875,264.4537382328097,258.7120843971596,260.3228757663658,200181
2017-08-16,263.0378112792969,263.9601017436115,259.6084130367587,260.84246265299527,232515
2017-08-17,262.8299560546875,267.0777247890404,261.62185670823334,263.6743007338714,222816
2017-08-18,259.5175476074219,262.9209727496135,257.2702504325604,262.9209727496135,205047
2017-08-21,261.5959777832031,268.4807741249968,260.0891295323801,261.1023530298554,235680
2017-08-22,260.9983215332031,264.42771934754205,260.58264271587615,261.8816509128708,121911
2017-08-23,261.0503234863281,262.1285292935339,260.06307419813305,261.36210644950603,134739
2017-08-24,265.38433837890625,267.2189663209598,263.4699143697395,263.4965211730814,136479
2017-08-28,261.91448974609375,266.9265009592753,261.635300867439,266.1554148209662,183054
2017-08-29,260.49200439453125,264.56009504924646,260.25268919295564,262.14050662733547,133794
2017-08-30,260.5849914550781,263.49650093586075,259.8670946782332,262.1936440170205,150072
2017-08-31,258.790283203125,261.83472985827996,258.1787404943671,260.98387195288973,267186
2017-09-01,259.7474670410156,262.8849763185421,258.4446100330514,259.4284044898042,211845
2017-09-04,258.96307373046875,261.63526807481503,257.6602168029569,260.03993107435883,415503
